,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Klara HIMMELOVA,,ILCA 6,25.0,G,90,,345.0,289,World Championship 2023
1,,,Hallie SCHIFFMAN,,ILCA 6,19.0,G,75,,247.0,207,World Championship 2023
2,,,Marissa IJBEN,,ILCA 6,5.0,G,57,,171.0,115,World Championship 2023
3,,,Mariela NIKOLOVA,,ILCA 6,35.0,G,103,,460.0,406,World Championship 2023
4,,,Elena OETLING RAMIREZ,,ILCA 6,21.0,G,78,,279.0,223,World Championship 2023
5,,,Deisy NHAQUILE,,ILCA 6,31.0,G,100,,417.0,368,World Championship 2023
6,,,Nelle LEENDERS,,ILCA 6,46.0,G,109,,506.0,451,World Championship 2023
7,,,Argyro KOURAVELOU,,ILCA 6,56.0,G,102,,457.0,401,World Championship 2023
8,,,KAKIMOTO Mai,,ILCA 6,41.0,G,101,,439.0,384,World Championship 2023
9,,,Clara GRAVELY,,ILCA 6,56.0,G,72,,252.0,196,World Championship 2023
10,,,Coralie VITTECOQ,,ILCA 6,9.0,G,68,,207.0,173,World Championship 2023
11,,,Evangelia KARAGEORGOU,,ILCA 6,34.0,G,94,,400.0,344,World Championship 2023
12,,,Linda HENSEL,,ILCA 6,26.0,G,86,,310.0,265,World Championship 2023
13,,,Evie SAUNDERS,,ILCA 6,7.0,G,62,,179.0,144,World Championship 2023
14,,,Sofiia NAUMENKO,,ILCA 6,56.0,G,97,,415.0,359,World Championship 2023
15,,,Molly SACKER,,ILCA 6,11.0,G,64,,197.0,165,World Championship 2023
16,,,Charlotte WEBSTER,,ILCA 6,44.0,G,106,,470.0,414,World Championship 2023
17,,,Dolores MOREIRA FRASCHINI,,ILCA 6,8.0,G,63,,214.0,158,World Championship 2023
18,,,Agustina JORDAN von APPEN,,ILCA 6,56.0,G,98,,419.0,363,World Championship 2023
19,,,Diana MARKOVA,,ILCA 6,39.0,G,99,,417.0,367,World Championship 2023
20,,,Maria Jose PONCELL MAURIN,,ILCA 6,36.0,G,96,,407.0,355,World Championship 2023
21,,,Ines GMATI,,ILCA 6,30.0,G,85,,319.0,263,World Championship 2023
22,,,Giorgia DELLA VALLE,,ILCA 6,56.0,G,60,,193.0,137,World Championship 2023
23,,,Sophia Gail MONTGOMERY,,ILCA 6,18.0,G,82,,276.0,241,World Championship 2023
24,,,Louise CERVERA,,ILCA 6,1.0,G,58,,186.0,130,World Championship 2023
25,,,Eve McMAHON,,ILCA 6,2.0,G,56,,157.0,101,World Championship 2023
26,,,Greta PILKINGTON,,ILCA 6,32.0,G,84,,310.0,254,World Championship 2023
27,,,Daniela RIVERA,,ILCA 6,23.0,G,87,,313.0,271,World Championship 2023
28,,,Lin PLETIKOS,,ILCA 6,16.0,G,77,,252.0,212,World Championship 2023
29,,,Lara HIMMES HIMMES,,ILCA 6,20.0,G,89,,330.0,274,World Championship 2023
30,,,Pernelle MICHON,,ILCA 6,3.0,G,65,,222.0,166,World Championship 2023
31,,,Viktorija ANDRULYTE,,ILCA 6,12.0,G,66,,214.0,166,World Championship 2023
32,,,Martina REINO CACHO,,ILCA 6,4.0,G,61,,198.0,142,World Championship 2023
33,,,YAMAMOTO Yuuri,,ILCA 6,38.0,G,105,,464.0,410,World Championship 2023
34,,,Elena VOROBEVA,,ILCA 6,14.0,G,59,,175.0,136,World Championship 2023
35,,,Estere Paula KUMPINA,,ILCA 6,56.0,G,110,,534.0,478,World Championship 2023
36,,,GU Min,,ILCA 6,29.0,G,79,,280.0,224,World Championship 2023
37,,,Alessia PALANTI,,ILCA 6,56.0,G,108,,477.0,421,World Championship 2023
38,,,CHEN Pin-Chieh,,ILCA 6,45.0,G,104,,463.8,410,World Championship 2023
39,,,Olivia CHRISTIE,,ILCA 6,22.0,G,71,,250.0,195,World Championship 2023
40,,,Ursula BALAS,,ILCA 6,28.0,G,88,,330.0,274,World Championship 2023
41,,,Vaimo'Oi'A RIPLEY,,ILCA 6,43.0,G,107,,474.0,421,World Championship 2023
42,,,MIURA Honoka,,ILCA 6,42.0,G,95,,406.0,353,World Championship 2023
43,,,Marilena MAKRI,,ILCA 6,56.0,G,73,,260.0,204,World Championship 2023
44,,,Romi SAFIN,,ILCA 6,24.0,G,91,,356.0,309,World Championship 2023
45,,,Eline VERSTRAELEN,,ILCA 6,6.0,G,67,,216.0,172,World Championship 2023
46,,,Katariina ROIHU,,ILCA 6,13.0,G,81,,278.0,235,World Championship 2023
47,,,Sophie ZIMMERMANN,,ILCA 6,27.0,G,92,,367.0,315,World Championship 2023
48,,,HIGHFIELD Nancy Jane,,ILCA 6,15.0,G,69,,221.0,176,World Championship 2023
