,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
289,,,SAMARZIJA/SCHEIDL,,470,26,G,62,,285,252,World Championship 2023
290,,,TULCALI/DANISMEND,,470,2,G,31,,235,202,World Championship 2023
291,,,HASSON/LASRY,,470,6,G,7,,131,98,World Championship 2023
292,,,TAKAYAMA/MORITA,,470,13,G,24,,191,160,World Championship 2023
293,,,FRAS/SKERLAVAJ,,470,30,G,61,,267,237,World Championship 2023
294,,,DONNER/HABERL,,470,9,G,45,,179,151,World Championship 2023
295,,,RENNIE-YOUNGER/McGLASHAN,,470,32,G,60,,262,229,World Championship 2023
296,,,THAMSOONTORN/KHEMKAEW,,470,29,G,49,,210,181,World Championship 2023
297,,,ZEGERS/van VUGT,,470,16,G,35,,116,87,World Championship 2023
298,,,XU/TU,,470,1,G,16,,143,119,World Championship 2023
299,,,GAGO/PIRES,,470,25,G,34,,111,86,World Championship 2023
300,,,PENNANEAC'H/WILLIOT,,470,31,G,42,,174,142,World Championship 2023
301,,,CINAR/ASLAN,,470,5,G,22,,184,155,World Championship 2023
302,,,FAHRNI/SCHUPBACH,,470,22,G,40,,163,138,World Championship 2023
303,,,KORSAK/BORYS,,470,12,G,47,,203,173,World Championship 2023
304,,,WINKEL/WINKEL,,470,14,G,5,,110,94,World Championship 2023
305,,,WANSER/AUTENRIETH,,470,3,G,9,,135,114,World Championship 2023
306,,,DAHNKE/CIPRA,,470,23,G,26,,194,161,World Championship 2023
307,,,BRISTOW/TAYLOR,,470,21,G,38,,137,116,World Championship 2023
308,,,KONDO YOSHIDA/YOSHIDA,,470,7,G,28,,212,178,World Championship 2023
309,,,TAVELLA/DIETRICH,,470,19,G,33,,259,226,World Championship 2023
310,,,PAPPA/MICHALOPOULOS,,470,20,G,39,,158,134,World Championship 2023
311,,,PASZEK/LASKOWSKA,,470,10,G,54,,223,195,World Championship 2023
312,,,SCOTT/HUME,,470,28,G,53,,224,192,World Championship 2023
313,,,ISOZAKI/SEKI,,470,8,G,3,,112,91,World Championship 2023
314,,,JACOBSEN/FORSLUND,,470,18,G,59,,262,229,World Championship 2023
315,,,PHELAN/BASTIAN,,470,24,G,63,,290,257,World Championship 2023
316,,,le CLECH/RETORNAZ,,470,27,G,30,,227,196,World Championship 2023
317,,,WRIGLEY/HARRIS,,470,17,G,15,,148,115,World Championship 2023
318,,,MERMOD/SIEGENTHALER,,470,11,G,12,,124,101,World Championship 2023
319,,,CINAR/ASLAN,,470,22,G,22,,184,155,World Championship 2023
320,,,LOFFLER/HOERR,,470,27,G,17,,161,134,World Championship 2023
321,,,DUARTE HADDAD/SWAN,,470,25,G,23,,183,157,World Championship 2023
322,,,HASSON/LASRY,,470,19,G,7,,131,98,World Championship 2023
323,,,PACAUD/de GENNES,,470,13,G,14,,142,113,World Championship 2023
324,,,MAS/RODRIGUEZ,,470,15,G,11,,121,99,World Championship 2023
325,,,McNAY/DALLMAN-WEISS,,470,17,G,18,,161,135,World Championship 2023
326,,,WANSER/AUTENRIETH,,470,9,G,9,,135,114,World Championship 2023
327,,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,16,G,29,,215,182,World Championship 2023
328,,,KONDO YOSHIDA/YOSHIDA,,470,20,G,28,,212,178,World Championship 2023
329,,,NORDSTROM/BORNARTH,,470,4,G,21,,176,144,World Championship 2023
330,,,DIESCH/MARKFORT,,470,1,G,8,,122,98,World Championship 2023
331,,,LECOINTRE/MION,,470,6,G,20,,174,141,World Championship 2023
332,,,WRIGLEY/HARRIS,,470,10,G,15,,148,115,World Championship 2023
333,,,XAMMAR HERNANDEZ/BRUGMAN CABOT,,470,5,G,2,,106,86,World Championship 2023
334,,,FERRARI/CARUSO,,470,34,G,19,,173,139,World Championship 2023
335,,,ISOZAKI/SEKI,,470,11,G,3,,112,91,World Championship 2023
336,,,TAKAYAMA/MORITA,,470,29,G,24,,191,160,World Championship 2023
337,,,DAHLBERG/KARLSSON,,470,12,G,6,,118,95,World Championship 2023
338,,,le CLECH/RETORNAZ,,470,31,G,30,,227,196,World Championship 2023
339,,,MERMOD/SIEGENTHALER,,470,23,G,12,,124,101,World Championship 2023
340,,,DAHNKE/CIPRA,,470,26,G,26,,194,161,World Championship 2023
341,,,OKADA/YOSHIOKA,,470,2,G,1,,74,50,World Championship 2023
342,,,LINCK DUARTE/BUSATO BARBACHAN,,470,18,G,32,,243,210,World Championship 2023
343,,,LEIGH/ORR,,470,28,G,25,,191,161,World Championship 2023
344,,,WINKEL/WINKEL,,470,14,G,5,,110,94,World Championship 2023
345,,,VADLAU/MAHR,,470,8,G,4,,112,93,World Championship 2023
346,,,HEATHCOTE/GRUBE,,470,3,G,13,,142,112,World Championship 2023
347,,,XU/TU,,470,7,G,16,,143,119,World Championship 2023
348,,,TULCALI/DANISMEND,,470,30,G,31,,235,202,World Championship 2023
349,,,DONG/WANG,,470,21,G,27,,211,178,World Championship 2023
350,,,COSTA/JOAO,,470,24,G,10,,140,116,World Championship 2023
351,,,TAVELLA/DIETRICH,,470,32,G,33,,259,226,World Championship 2023
352,,,JACKSON/HIGGINS,,470,10,G,50,,216,185,World Championship 2023
353,,,JACOBSEN/FORSLUND,,470,23,G,59,,262,229,World Championship 2023
354,,,GIANNOULIS/GIANNOULI,,470,32,G,58,,258,226,World Championship 2023
355,,,RENNIE-YOUNGER/McGLASHAN,,470,27,G,60,,262,229,World Championship 2023
356,,,KONGARA/SHEKHAR,,470,32,G,56,,249,216,World Championship 2023
357,,,KAMAN SHAH/NOOR JAMALI,,470,1,G,43,,178,149,World Championship 2023
358,,,BRISTOW/TAYLOR,,470,20,G,38,,137,116,World Championship 2023
359,,,GAGO/PIRES,,470,4,G,34,,111,86,World Championship 2023
360,,,RUIZ PONCE/GIL ROIG,,470,17,G,51,,219,187,World Championship 2023
361,,,WORNALL/STREET,,470,24,G,57,,257,225,World Championship 2023
362,,,VERMA/SHARMA,,470,18,G,52,,218,190,World Championship 2023
363,,,COWLES/HUGHES,,470,32,G,55,,239,206,World Championship 2023
364,,,PETRAITYTE/JURGELIONIS,,470,32,G,64,,338,305,World Championship 2023
365,,,PAPPA/MICHALOPOULOS,,470,2,G,39,,158,134,World Championship 2023
366,,,THAMSOONTORN/KHEMKAEW,,470,9,G,49,,210,181,World Championship 2023
367,,,FRAS/SKERLAVAJ,,470,19,G,61,,267,237,World Championship 2023
368,,,DONNER/HABERL,,470,12,G,45,,179,151,World Championship 2023
369,,,JERWOOD/NICHOLAS,,470,8,G,36,,135,102,World Championship 2023
370,,,ZEGERS/van VUGT,,470,5,G,35,,116,87,World Championship 2023
371,,,SAMARZIJA/SCHEIDL,,470,16,G,62,,285,252,World Championship 2023
372,,,DIAS FERREIRA DUQUE/MARTINS,,470,3,G,44,,183,151,World Championship 2023
373,,,PHELAN/BASTIAN,,470,26,G,63,,290,257,World Championship 2023
374,,,SPANAKI/SPANAKIS,,470,7,G,48,,211,178,World Championship 2023
375,,,PASZEK/LASKOWSKA,,470,11,G,54,,223,195,World Championship 2023
376,,,SCOTT/HUME,,470,22,G,53,,224,192,World Championship 2023
377,,,FAHRNI/SCHUPBACH,,470,25,G,40,,163,138,World Championship 2023
378,,,KORSAK/BORYS,,470,13,G,47,,203,173,World Championship 2023
379,,,BERTA/FESTO,,470,15,G,37,,131,105,World Championship 2023
380,,,di SALLE/BELLICO,,470,14,G,41,,173,141,World Championship 2023
381,,,PAWLOWSKA/SZLIJA,,470,21,G,46,,193,160,World Championship 2023
382,,,PENNANEAC'H/WILLIOT,,470,6,G,42,,174,142,World Championship 2023
383,,,GIANNOULIS/GIANNOULI,,470,31,G,58,,258,226,World Championship 2023
384,,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,20,G,29,,215,182,World Championship 2023
385,,,PAWLOWSKA/SZLIJA,,470,8,G,46,,193,160,World Championship 2023
386,,,DAHLBERG/KARLSSON,,470,5,G,6,,118,95,World Championship 2023
387,,,VERMA/SHARMA,,470,14,G,52,,218,190,World Championship 2023
388,,,PACAUD/de GENNES,,470,11,G,14,,142,113,World Championship 2023
389,,,NORDSTROM/BORNARTH,,470,10,G,21,,176,144,World Championship 2023
390,,,LOFFLER/HOERR,,470,17,G,17,,161,134,World Championship 2023
391,,,DUARTE HADDAD/SWAN,,470,15,G,23,,183,157,World Championship 2023
392,,,SPANAKI/SPANAKIS,,470,30,G,48,,211,178,World Championship 2023
393,,,VADLAU/MAHR,,470,2,G,4,,112,93,World Championship 2023
394,,,McNAY/DALLMAN-WEISS,,470,7,G,18,,161,135,World Championship 2023
395,,,MAS/RODRIGUEZ,,470,22,G,11,,121,99,World Championship 2023
396,,,DIESCH/MARKFORT,,470,9,G,8,,122,98,World Championship 2023
397,,,WORNALL/STREET,,470,24,G,57,,257,225,World Championship 2023
398,,,XAMMAR HERNANDEZ/BRUGMAN CABOT,,470,13,G,2,,106,86,World Championship 2023
