,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
1023,,,RIEGER/HEINRICH,,49er,8.0,G,32,,178.0,148.0,World Championship 2023
1024,,,MOFFAT/WOOD,,49er,14.0,G,60,,222.0,193.0,World Championship 2023
1025,,,KIM/BAE,,49er,29.0,G,82,,376.0,346.0,World Championship 2023
1026,,,WILLIFORD/WILLIFORD,,49er,29.0,G,58,,209.0,180.0,World Championship 2023
1027,,,PRETTNER/FLACHBERGER,,49er,5.0,G,33,,184.0,154.0,World Championship 2023
1028,,,STANTON/SHAPLAND,,49er,20.0,G,41,,219.0,193.0,World Championship 2023
1029,,,SOFFIATTI GRAEL/SILVA SIMOES,,49er,29.0,G,56,,203.0,174.0,World Championship 2023
1030,,,de VOS/JANSSEN,,49er,29.0,G,83,,425.0,395.0,World Championship 2023
1031,,,KIM/BAE,,49er,30.0,G,82,,376.0,346.0,World Championship 2023
1032,,,STAPLES/STAPLES,,49er,21.0,G,70,,298.0,269.0,World Championship 2023
1033,,,HUISMAN/SWART,,49er,12.0,G,64,,280.0,250.0,World Championship 2023
1034,,,SOFFIATTI GRAEL/SILVA SIMOES,,49er,11.0,G,56,,203.0,174.0,World Championship 2023
1035,,,SHIMAKURA/KAMISONODA,,49er,30.0,G,80,,353.0,323.0,World Championship 2023
1036,,,ANDERSSON/BRORSSON,,49er,18.0,G,78,,341.0,311.0,World Championship 2023
1037,,,ABU/WIRTHEIM,,49er,2.0,G,67,,289.0,259.0,World Championship 2023
1038,,,LAW/DINGEMANS,,49er,22.0,G,77,,334.0,304.0,World Championship 2023
1039,,,CONTESSI/CONTESSI,,49er,10.0,G,59,,212.0,187.0,World Championship 2023
1040,,,DEHN-TOFTEHOJ/FUGLBJERG,,49er,19.0,G,66,,284.0,254.0,World Championship 2023
1041,,,SADE/REUVENY,,49er,5.0,G,63,,279.0,249.0,World Championship 2023
1042,,,MOFFAT/WOOD,,49er,23.0,G,60,,222.0,193.0,World Championship 2023
1043,,,FERGUSON/HILDEBRAND,,49er,9.0,G,55,,198.0,169.0,World Championship 2023
1044,,,ROIHU/LINDELL,,49er,4.0,G,57,,198.0,177.0,World Championship 2023
1045,,,THAKUR/RANGAD,,49er,20.0,G,75,,318.0,288.0,World Championship 2023
1046,,,de VOS/JANSSEN,,49er,30.0,G,83,,425.0,395.0,World Championship 2023
1047,,,WESTERLIND/ARONSSON,,49er,24.0,G,71,,299.0,270.0,World Championship 2023
1048,,,HASSON/HARDEE,,49er,13.0,G,69,,291.0,262.0,World Championship 2023
1049,,,KAGIALIS/ORFANOS,,49er,3.0,G,61,,257.0,227.0,World Championship 2023
1050,,,DOLIANITIS/GIOTOPOULOS,,49er,8.0,G,76,,331.0,302.0,World Championship 2023
1051,,,BACON/ROCHFORD,,49er,30.0,G,81,,364.0,334.0,World Championship 2023
1052,,,BERTHET/NILSEN,,49er,30.0,G,79,,350.0,320.0,World Championship 2023
1053,,,ALVES/ALVES,,49er,16.0,G,74,,306.0,277.0,World Championship 2023
1054,,,SLOTH/CHRISTOFFERSEN,,49er,15.0,G,62,,277.0,247.0,World Championship 2023
1055,,,WILLIFORD/WILLIFORD,,49er,1.0,G,58,,209.0,180.0,World Championship 2023
1056,,,GANZEVLES/GAST,,49er,14.0,G,65,,279.0,252.0,World Championship 2023
1057,,,KOH/TAN,,49er,17.0,G,73,,300.0,271.0,World Championship 2023
1058,,,COSTA/BOLINA,,49er,7.0,G,72,,299.0,270.0,World Championship 2023
1059,,,MARSANS BALCELLS/RUIZ IBANEZ,,49er,6.0,G,68,,290.0,260.0,World Championship 2023
1060,,,MOLLERUS/MACDIARMID,,49er,1.0,G,5,,115.0,100.0,World Championship 2023
1061,,,BURTON/PAUL,,49er,19.0,G,21,,185.0,156.0,World Championship 2023
1062,,,BILDSTEIN/HUSSL,,49er,18.0,G,12,,143.0,123.0,World Championship 2023
1063,,,PRZYBYTEK/PIASECKI,,49er,5.0,G,7,,132.0,108.0,World Championship 2023
1064,,,NYBORG/BUHL,,49er,25.0,G,25,,187.0,162.0,World Championship 2023
1065,,,TAYLOR/HAWES,,49er,2.0,G,15,,155.0,130.0,World Championship 2023
1066,,,PETERS/STERRITT,,49er,23.0,G,6,,123.0,100.0,World Championship 2023
1067,,,DUNNING-BECK/GUNN,,49er,20.0,G,23,,188.0,159.0,World Championship 2023
1068,,,BARROWS/HENKEN,,49er,11.0,G,9,,133.0,116.0,World Championship 2023
1069,,,FISCHER/PEQUIN,,49er,16.0,G,13,,156.0,127.0,World Championship 2023
1070,,,BUKSAK/WIERZBICKI,,49er,9.0,G,10,,132.0,116.0,World Championship 2023
1071,,,CRIVELLI VISCONTI/CALABRO',,49er,12.0,G,18,,169.0,146.0,World Championship 2023
1072,,,UMPIERRE/DIZ,,49er,15.0,G,24,,186.0,161.0,World Championship 2023
1073,,,SNOW/AGNESE,,49er,17.0,G,19,,173.0,149.0,World Championship 2023
1074,,,McHARDIE/McKENZIE,,49er,10.0,G,4,,125.0,99.0,World Championship 2023
1075,,,FISCHER/JAUVIN,,49er,24.0,G,22,,186.0,159.0,World Championship 2023
1076,,,BOTIN le CHEVER/TRITTEL PAUL F,,49er,7.0,G,3,,117.8,91.8,World Championship 2023
1077,,,RASK/PRECHT JENSEN,,49er,14.0,G,11,,142.0,115.0,World Championship 2023
1078,,,SCHNEITER/de PLANTA,,49er,4.0,G,2,,116.0,91.0,World Championship 2023
1079,,,LAMBRIEX/van de WERKEN,,49er,6.0,G,1,,76.0,63.0,World Championship 2023
1080,,,DICKSON/WADDILOVE,,49er,3.0,G,14,,159.0,130.0,World Championship 2023
1081,,,FANTELA/FANTELA,,49er,13.0,G,8,,135.0,109.0,World Championship 2023
1082,,,RUAL/AMOROS,,49er,21.0,G,20,,179.0,153.0,World Championship 2023
1083,,,STINGELE/SCHEEL,,49er,22.0,G,17,,161.0,138.0,World Championship 2023
1084,,,STANIUL/SZTORCH,,49er,8.0,G,16,,156.0,132.0,World Championship 2023
1085,,,RIEGER/HEINRICH,,49er,10.0,G,32,,178.0,148.0,World Championship 2023
1086,,,HASSON/HARDEE,,49er,23.0,G,69,,291.0,262.0,World Championship 2023
1087,,,DOLIANITIS/GIOTOPOULOS,,49er,24.0,G,76,,331.0,302.0,World Championship 2023
1088,,,JONES/BARNES,,49er,14.0,G,44,,229.0,207.0,World Championship 2023
1089,,,GANZEVLES/GAST,,49er,22.0,G,65,,279.0,252.0,World Championship 2023
1090,,,DEHN-TOFTEHOJ/FUGLBJERG,,49er,25.0,G,66,,284.0,254.0,World Championship 2023
1091,,,SLOTH/CHRISTOFFERSEN,,49er,15.0,G,62,,277.0,247.0,World Championship 2023
1092,,,DICKSON/WADDILOVE,,49er,1.0,G,14,,159.0,130.0,World Championship 2023
1093,,,BUKSAK/WIERZBICKI,,49er,8.0,G,10,,132.0,116.0,World Championship 2023
1094,,,GUILFOYLE/DURCAN,,49er,29.0,G,45,,241.0,211.0,World Championship 2023
1095,,,KENNISH/MARTIN,,49er,19.0,G,43,,226.0,202.0,World Championship 2023
1096,,,ROBINS/HUGHES,,49er,17.0,G,48,,247.5,218.5,World Championship 2023
1097,,,FURUYA/TAKAYANAGI,,49er,11.0,G,46,,242.0,212.0,World Championship 2023
