,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
392,,,Danae PONTIFEX,,IQFOIL Fem.,28.0,G,64,,374.0,260.0,World Championship 2023
393,,,Sofia HAMALAINEN,,IQFOIL Fem.,24.0,G,78,,461.0,341.0,World Championship 2023
394,,,Emma Viktoria MILLEND,,IQFOIL Fem.,2.0,G,62,,372.0,245.0,World Championship 2023
395,,,Danicka SAILER,,IQFOIL Fem.,7.0,G,65,,388.0,263.0,World Championship 2023
396,,,Fianne van den BRULE,,IQFOIL Fem.,9.0,G,69,,385.0,280.0,World Championship 2023
397,,,WATANABE Junna,,IQFOIL Fem.,22.0,G,75,,434.0,319.0,World Championship 2023
398,,,Helena WANSER,,IQFOIL Fem.,33.0,G,70,,384.0,281.0,World Championship 2023
399,,,Marion COUTURIER,,IQFOIL Fem.,3.0,G,60,,363.0,237.0,World Championship 2023
400,,,Lena ERDIL,,IQFOIL Fem.,1.0,G,47,,247.0,166.0,World Championship 2023
401,,,Katerina ALTMANNOVA,,IQFOIL Fem.,29.0,G,57,,326.0,214.0,World Championship 2023
402,,,Kristyna PINOSOVA,,IQFOIL Fem.,4.0,G,55,,308.0,211.0,World Championship 2023
403,,,Alisa ENGELMANN,,IQFOIL Fem.,16.0,G,45,,257.0,157.0,World Championship 2023
404,,,Bruna MARTINELLI CESARIO de MELLO,,IQFOIL Fem.,35.0,G,76,,439.0,326.0,World Championship 2023
405,,,Aimee BRIGHT,,IQFOIL Fem.,36.0,G,66,,377.0,264.0,World Championship 2023
406,,,Aleksandra BLINNIKKA,,IQFOIL Fem.,5.0,G,56,,315.0,212.0,World Championship 2023
407,,,Bryn MULLER,,IQFOIL Fem.,30.0,G,74,,446.0,318.0,World Championship 2023
408,,,Rebecca HELLER,,IQFOIL Fem.,43.0,G,87,,594.0,457.0,World Championship 2023
409,,,Lucy KENYON,,IQFOIL Fem.,23.0,G,68,,380.0,273.0,World Championship 2023
410,,,Andrea TORRES FULLANA,,IQFOIL Fem.,14.0,G,49,,304.0,182.0,World Championship 2023
411,,,Catrin WILLIAMS,,IQFOIL Fem.,19.0,G,71,,409.0,282.0,World Championship 2023
412,,,Manon BERGER,,IQFOIL Fem.,21.0,G,77,,466.0,336.0,World Championship 2023
413,,,Dominique STATER,,IQFOIL Fem.,26.0,G,50,,314.8,194.8,World Championship 2023
414,,,Merve VATAN,,IQFOIL Fem.,20.0,G,52,,311.0,204.0,World Championship 2023
415,,,Samantha COSTIN,,IQFOIL Fem.,12.0,G,63,,357.0,258.0,World Championship 2023
416,,,Johanna HJERTBERG,,IQFOIL Fem.,11.0,G,58,,349.0,230.0,World Championship 2023
417,,,ONISHI Fujiko,,IQFOIL Fem.,18.0,G,59,,331.0,233.0,World Championship 2023
418,,,Sofie HAMMEKEN,,IQFOIL Fem.,17.0,G,72,,425.0,312.0,World Championship 2023
419,,,Lorena ABICHT,,IQFOIL Fem.,37.0,G,79,,477.0,348.0,World Championship 2023
420,,,Stella BILGER,,IQFOIL Fem.,39.0,G,82,,494.0,376.0,World Championship 2023
421,,,Anna WEIS,,IQFOIL Fem.,27.0,G,80,,484.0,349.0,World Championship 2023
422,,,Aikaterini DIVARI,,IQFOIL Fem.,31.0,G,73,,433.0,313.0,World Championship 2023
423,,,Cecilia Haslund ORESKOV,,IQFOIL Fem.,38.0,G,84,,516.0,387.0,World Championship 2023
424,,,Giovanna PRADA,,IQFOIL Fem.,34.0,G,67,,379.0,267.0,World Championship 2023
425,,,Sara SZENTIVANYI,,IQFOIL Fem.,47.0,G,86,,589.0,450.0,World Championship 2023
426,,,Shahar RESHEF,,IQFOIL Fem.,47.0,G,13,,218.0,102.0,World Championship 2023
427,,,Cecilia Haslund ORESKOV,,IQFOIL Fem.,31.0,G,84,,516.0,387.0,World Championship 2023
428,,,ZHENG Manjia,,IQFOIL Fem.,47.0,G,42,,394.0,260.0,World Championship 2023
429,,,Maja KUCHTA,,IQFOIL Fem.,15.0,G,28,,242.0,169.0,World Championship 2023
430,,,Bruna MARTINELLI CESARIO de MELLO,,IQFOIL Fem.,23.0,G,76,,439.0,326.0,World Championship 2023
431,,,Bryn MULLER,,IQFOIL Fem.,35.0,G,74,,446.0,318.0,World Championship 2023
432,,,Sara WENNEKES,,IQFOIL Fem.,1.0,G,11,,219.0,95.0,World Championship 2023
433,,,Lina ERZEN,,IQFOIL Fem.,11.0,G,51,,310.0,196.0,World Championship 2023
434,,,Giorgia SPECIALE,,IQFOIL Fem.,3.0,G,16,,186.0,114.0,World Championship 2023
435,,,Dilara URALP PALOMBO,,IQFOIL Fem.,29.0,G,54,,313.0,210.0,World Championship 2023
