,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
846,,,REYNOLDS- SMITH/REYNOLDS-SMITH,,49erFX,22.0,G,48,,326.0,296.0,World Championship 2023
847,,,LOVADINA/COMPAN,,49erFX,20.0,G,29,,190.0,169.0,World Championship 2023
848,,,PAIS/AUSMAN,,49erFX,21.0,G,47,,325.0,294.0,World Championship 2023
849,,,BRICKWOOD/ORTON,,49erFX,14.0,G,27,,179.0,161.0,World Championship 2023
850,,,KEERS/JOBSON,,49erFX,18.0,G,37,,240.0,210.0,World Championship 2023
851,,,OMARI/CARRARO,,49erFX,6.0,G,30,,207.0,184.0,World Championship 2023
852,,,JOHANNESEN/NIELSBY CHRISTENSEN,,49erFX,17.0,G,39,,244.0,217.0,World Championship 2023
853,,,STEYAERT/PICON,,49erFX,3.0,G,28,,195.0,161.0,World Championship 2023
854,,,CHOI/di SALVO,,49erFX,27.0,G,54,,368.0,334.0,World Championship 2023
855,,,BAR AM/TAMIR,,49erFX,24.0,G,53,,364.0,330.0,World Championship 2023
856,,,UTTERSTROM/BERNTSSON,,49erFX,34.0,G,55,,371.0,337.0,World Championship 2023
857,,,SCHOUTEN/LODEWIJK,,49erFX,28.0,G,49,,347.0,315.0,World Championship 2023
858,,,PEYRE/STAMMINGER de MOURA,,49erFX,19.0,G,43,,283.0,254.0,World Championship 2023
859,,,LIM/LOW,,49erFX,8.0,G,41,,258.0,228.0,World Championship 2023
860,,,HENKEL/HORLBECK,,49erFX,15.0,G,40,,247.0,220.0,World Championship 2023
861,,,CZAPSKA/RAJCHERT,,49erFX,34.0,G,51,,350.0,316.0,World Championship 2023
862,,,YAMAZAKI/TAKANO,,49erFX,5.0,G,33,,215.0,192.0,World Championship 2023
863,,,BRYANT/McLEAY,,49erFX,16.0,G,38,,244.0,216.0,World Championship 2023
864,,,TUDELA BALLON/BARRON VELAOCHAGA,,49erFX,30.0,G,56,,391.0,361.0,World Championship 2023
