Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
BRICKWOOD Megan / ORTON Stéphanie,7,49erFX,10,G,14,,142,126,Semaine Olympique Francaise De Voile 2022
SUAREZ Patricia / RCN CANTERO Maria,7,49erFX,4,G,15,,141,126,Semaine Olympique Francaise De Voile 2022
VAN AANHOLT Odile / SIEWERS Emma,7,49erFX,DNF 20,G,16,,147,127,Semaine Olympique Francaise De Voile 2022
HARDING Laura / WILMOT Annie,7,49erFX,6,G,17,,154,134,Semaine Olympique Francaise De Voile 2022
PICON Charline / LA STEYEART Sarah,7,49erFX,11,G,18,,161,143,Semaine Olympique Francaise De Voile 2022
DAHL ANDER Pia / EDLAND Nora,7,49erFX,14,G,19,,163,144,Semaine Olympique Francaise De Voile 2022
OMARI Carlotta / SEZ CARRARO Sveva,7,49erFX,7,G,20,,100,84,Semaine Olympique Francaise De Voile 2022
BLACK Freya / WPNSATIDEY Saskia,7,49erFX,3,G,21,,105,85,Semaine Olympique Francaise De Voile 2022
SICOURI Silvia / MARCHESINI Maria,7,49erFX,-15,G,22,,101,86,Semaine Olympique Francaise De Voile 2022
LOVADINA Mathilde / RIOU Marine,7,49erFX,8,G,23,,113,93,Semaine Olympique Francaise De Voile 2022
PASSAMONTI Arianna FAVA Gulia,7,49erFX,4,G,24,,116,98,Semaine Olympique Francaise De Voile 2022
PRICE Olivia / MHYC / HASELDINE Evie,7,49erFX,2,G,25,,119,99,Semaine Olympique Francaise De Voile 2022
PEYRE Manon STAMMINGER DE,7,49erFX,6,G,26,,119,102,Semaine Olympique Francaise De Voile 2022
TANAKA Misaki / NAGAMATSU Sera,7,49erFX,17,G,27,,121,103,Semaine Olympique Francaise De Voile 2022
BRISTOW Hannah / CARPENTER Anna,7,49erFX,14,G,28,,122,105,Semaine Olympique Francaise De Voile 2022
WILMOT Lucy / RYC.REINEKE Erika,7,49erFX,16,G,29,,127,110,Semaine Olympique Francaise De Voile 2022
BOEHM Nadine / WEISSKICHEL Lena,7,49erFX,9,G,30,,129,113,Semaine Olympique Francaise De Voile 2022
CZAPSKA Gabriela / RAJCHERT Hanna /,7,49erFX,DNF 20,G,31,,147,127,Semaine Olympique Francaise De Voile 2022
GARAU Marina / GARCIA Carlota,7,49erFX,9,G,32,,157,137,Semaine Olympique Francaise De Voile 2022
