Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
DE MOURGUES Marius,7,Formula Kite Masc.,57,G,57,,57,57,Semaine Olympique Francaise De Voile 2022
IZARD Matthieu,7,Formula Kite Masc.,58,G,58,,58,58,Semaine Olympique Francaise De Voile 2022
PRANGSRI Sirawit,7,Formula Kite Masc.,59,G,59,,59,59,Semaine Olympique Francaise De Voile 2022
MAEDER Karl,7,Formula Kite Masc.,60,G,60,,60,60,Semaine Olympique Francaise De Voile 2022
STRAGIOTTI Gian Andrea,7,Formula Kite Masc.,61,G,61,,61,61,Semaine Olympique Francaise De Voile 2022
GARNIER Anil,7,Formula Kite Masc.,62,G,62,,62,62,Semaine Olympique Francaise De Voile 2022
CHINOT Titouan,7,Formula Kite Masc.,63,G,63,,63,63,Semaine Olympique Francaise De Voile 2022
PROMWAEN Somsak,7,Formula Kite Masc.,64,G,64,,64,64,Semaine Olympique Francaise De Voile 2022
KROCZAK Marcin,7,Formula Kite Masc.,65,G,65,,65,65,Semaine Olympique Francaise De Voile 2022
OLSSON André,7,Formula Kite Masc.,66,G,66,,66,66,Semaine Olympique Francaise De Voile 2022
BARBERA FERRAGUD Oscar,7,Formula Kite Masc.,67,G,67,,67,67,Semaine Olympique Francaise De Voile 2022
SELF Daniel,7,Formula Kite Masc.,68,G,68,,68,68,Semaine Olympique Francaise De Voile 2022
