Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
Stephanie ROBLEMaggie SHEA,11,49erFX,14.0,G,8,,146.0,129.0,World Championship 2021
Lara GRANIERAmélie RIOU,11,49erFX,7.0,G,9,,156.0,136.0,World Championship 2021
Jana GERMANIGiorgia BERTUZZI,11,49erFX,16.0,G,10,,173.0,152.0,World Championship 2021
Mathilde LOVADINAMarine RIOU,11,49erFX,1.0,G,11,,155.0,136.0,World Championship 2021
Klara WESTERMalin TENGSTRÖM,11,49erFX,3.0,G,12,,162.0,139.0,World Championship 2021
Carlotta OMARISveva CARRARO,11,49erFX,13.0,G,13,,173.0,154.0,World Championship 2021
Enia NINCEVICMihaela de MICHELI VITTURI,11,49erFX,10.0,G,14,,177.0,157.0,World Championship 2021
Arianna PASSAMONTIGiulia FAVA,11,49erFX,15.0,G,15,,179.0,161.0,World Championship 2021
Laura SCHÖFEGGERLisa FARTHOFER,11,49erFX,12.0,G,16,,186.0,165.0,World Championship 2021
Eleanor KEERSSophie AINSWORTH,11,49erFX,20.0,G,17,,222.0,200.0,World Championship 2021
Alexandra STALDERSilvia SPERI,11,49erFX,22.0,G,18,,229.0,206.0,World Championship 2021
