Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
WANSER Luise AUTENRIETH Philipp,7,470,1,MR,3,,66,51,Semaine Olympique Francaise De Voile 2022
FERRARI Giacomo CARUSO Bianca,7,470,12,MR,4,,68,53,Semaine Olympique Francaise De Voile 2022
VADLAU Lara MAHR Lukas,7,470,4,MR,5,,68,54,Semaine Olympique Francaise De Voile 2022
MERMOD Yves SIEGENTHALER Maja,7,470,6,MR,6,,71,55,Semaine Olympique Francaise De Voile 2022
XAMMAR Jordi BRUGMAN Nora,7,470,2,MR,7,,82,55,Semaine Olympique Francaise De Voile 2022
WRIGLEY Martin MCINTYRE Eilidh,7,470,1,MR,8,,87,60,Semaine Olympique Francaise De Voile 2022
KEIJU Okada YOSHIOKA MIHO,7,470,4,MR,9,,81,64,Semaine Olympique Francaise De Voile 2022
HEATHCOTE Vita ORR Ryan,7,470,12,MR,10,,94,79,Semaine Olympique Francaise De Voile 2022
GRADONI Marco DUBBINI Alessandra,7,470,8,O,11,,87,60,Semaine Olympique Francaise De Voile 2022
CHARLWOOD Chris CATT Amelia,7,470,5,O,12,,78,60,Semaine Olympique Francaise De Voile 2022
DAHNKE THERES CIPRA MATTI,7,470,5,O,13,,80,60,Semaine Olympique Francaise De Voile 2022
PACAUD Matisse DE GENNES Lucie,7,470,3,O,14,,76,61,Semaine Olympique Francaise De Voile 2022
WINKEL Malte WINKEL Anastasiya,7,470,11,O,15,,83,62,Semaine Olympique Francaise De Voile 2022
BOVER MARIA GARCIA PABLO,7,470,6,O,16,,95,72,Semaine Olympique Francaise De Voile 2022
PAPOUTSOGLOU Vasilis KLONARIDOU Rafailina,7,470,15,O,17,,97,74,Semaine Olympique Francaise De Voile 2022
JERWOOD Nia NICHOLAS Conor,7,470,9,O,18,,109,84,Semaine Olympique Francaise De Voile 2022
TOTIS Andrew LINUSSI Alice,7,470,7,O,19,,118,94,Semaine Olympique Francaise De Voile 2022
BERGSTROM Olivia CHRISTENSSON Hugo,7,470,10,O,20,,123,99,Semaine Olympique Francaise De Voile 2022
BERTA Elena IZZO Jacopo,7,470,10,O,21,,122,103,Semaine Olympique Francaise De Voile 2022
FAHRNI Linda SCHUPBACH Cyril,7,470,13,O,22,,132,107,Semaine Olympique Francaise De Voile 2022
COSTA Diogo JOAO Carolina,7,470,18,O,23,,136,109,Semaine Olympique Francaise De Voile 2022
DUQUE Juliana MARTINS Rafael,7,470,8,O,24,,133,110,Semaine Olympique Francaise De Voile 2022
LE CLECH Hugo COLOMBE Julia,7,470,7,O,25,,134,112,Semaine Olympique Francaise De Voile 2022
TAVELLA Maria BelÃ©n RENNA Francisco,7,470,19,O,26,,148,123,Semaine Olympique Francaise De Voile 2022
TAKAYAMA Daichi MORITA Fuyuka,7,470,20,P,27,,97,70,Semaine Olympique Francaise De Voile 2022
