Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
DE VOS Wiebrand MOLIAKOV Aleksander,7,49er,18,G,52,,270.0,240.0,Semaine Olympique Francaise De Voile 2022
NOBLE Prince FRANCIS Manu,7,49er,DNF (32),G,53,,275.0,243.0,Semaine Olympique Francaise De Voile 2022
KIM KYOUNGDUKBAE Sangwoo,7,49er,25,G,54,,273.0,245.0,Semaine Olympique Francaise De Voile 2022
KAGIALIS Pavlos ORFANOS Ioannis,7,49er,24,G,55,,286.0,254.0,Semaine Olympique Francaise De Voile 2022
CHAE BONGJINSHIN Sangmin,7,49er,27,G,56,,307.0,275.0,Semaine Olympique Francaise De Voile 2022
GOULON Corentin BERTIN Youenn,7,49er,DNF (32),G,57,,315.0,283.0,Semaine Olympique Francaise De Voile 2022
KENNISH MaloMARTIN Anatole,7,49er,28,G,58,,316.0,284.0,Semaine Olympique Francaise De Voile 2022
MASCIA Gianmarco CORDINI Pietro,7,49er,29,G,59,,344.0,312.0,Semaine Olympique Francaise De Voile 2022
BUKSAK Dominik / KS WIERZBICKI Szymon,7,49er,1,G,1,,89.0,66.0,Semaine Olympique Francaise De Voile 2022
SNOW Nevin AGNESE Maximiliano,7,49er,4,G,2,,111.0,93.0,Semaine Olympique Francaise De Voile 2022
FISCHER Erwan PEQUIN Clement,7,49er,1,G,3,,113.0,94.0,Semaine Olympique Francaise De Voile 2022
BOTIN LE CHEVERTRITTEL PAUL Florian,7,49er,10,G,4,,121.0,103.0,Semaine Olympique Francaise De Voile 2022
RUAL Lucas AMOROS Emile,7,49er,3,G,5,,137.0,116.0,Semaine Olympique Francaise De Voile 2022
LAMBRIEX Bart FLORIS Van De,7,49er,8,G,6,,149.0,117.0,Semaine Olympique Francaise De Voile 2022
RASK Frederik PRECHT JENSEN,7,49er,2,G,7,,154.0,127.0,Semaine Olympique Francaise De Voile 2022
STANIUL Mikotaj / KS SZTORCH Jakub,7,49er,2,G,8,,167.0,135.0,Semaine Olympique Francaise De Voile 2022
PRZYBYTEK Lukssz PIASECKI Jacek,7,49er,7,G,9,,169.0,137.0,Semaine Olympique Francaise De Voile 2022
MOLLERUS Andrew MACDIARMID Ian,7,49er,5,G,10,,174.0,143.0,Semaine Olympique Francaise De Voile 2022
BARROWS Ian HENKEN Hans,7,49er,4,G,11,,152.0,133.0,Semaine Olympique Francaise De Voile 2022
DUNNING BECK LoganGUNN Oscar,7,49er,6,G,12,,153.0,133.0,Semaine Olympique Francaise De Voile 2022
MCHARDIE IsaacMCKENZIE William,7,49er,11,G,13,,170.0,143.0,Semaine Olympique Francaise De Voile 2022
