Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
ENGELMANN Alisa,7,IQFOIL Fem.,15,2(CR),15,,229.22,161.22,Semaine Olympique Francaise De Voile 2022
PAPAZIAN Ambar,7,IQFOIL Fem.,16,2(CR),16,,244,167,Semaine Olympique Francaise De Voile 2022
COUTURIER Marion,7,IQFOIL Fem.,11,2(CR),17,,270,175,Semaine Olympique Francaise De Voile 2022
SPYCHAKOV Katy,7,IQFOIL Fem.,23,2(CR),18,,271,194,Semaine Olympique Francaise De Voile 2022
BRYANT Natasha,7,IQFOIL Fem.,19,2(CR),19,,280,200,Semaine Olympique Francaise De Voile 2022
HJERTBERG Johanna,7,IQFOIL Fem.,14,2(CR),20,,305,209,Semaine Olympique Francaise De Voile 2022
RENNA Sofia,7,IQFOIL Fem.,20,2(CR),21,,297,218,Semaine Olympique Francaise De Voile 2022
NIIJIMA Rina,7,IQFOIL Fem.,22,2(CR),22,,304,222,Semaine Olympique Francaise De Voile 2022
NOCETI-KLEPACKA Zofia,7,IQFOIL Fem.,26,2(CR),23,,334,235,Semaine Olympique Francaise De Voile 2022
MARTINELLI Bruna,7,IQFOIL Fem.,24,2(CR),24,,332,252,Semaine Olympique Francaise De Voile 2022
COSTIN Samantha,7,IQFOIL Fem.,21,2(CR),25,,349,264,Semaine Olympique Francaise De Voile 2022
OPRANDI Linda,7,IQFOIL Fem.,27,2(CR),26,,363,277,Semaine Olympique Francaise De Voile 2022
ORAMS Brianna,7,IQFOIL Fem.,28,2(CR),27,,386,293,Semaine Olympique Francaise De Voile 2022
FUJIKO Onishi,7,IQFOIL Fem.,25,2(CR),28,,391,300,Semaine Olympique Francaise De Voile 2022
BERGER Manon,7,IQFOIL Fem.,30,2(CR),29,,404,305,Semaine Olympique Francaise De Voile 2022
HALL Farrah,7,IQFOIL Fem.,29,2(CR),30,,419,325,Semaine Olympique Francaise De Voile 2022
YAMABE Miki,7,IQFOIL Fem.,-31,2(CR),31,,445,350,Semaine Olympique Francaise De Voile 2022
WILSON Emma,7,IQFOIL Fem.,DNC (33),2(CR),32,,495,396,Semaine Olympique Francaise De Voile 2022
NOESMOEN Hélène,7,IQFOIL Fem.,1,3(CR),1,,28,12,Semaine Olympique Francaise De Voile 2022
DZIARNOWSKA Maja,7,IQFOIL Fem.,6,3(CR),2,,57,36,Semaine Olympique Francaise De Voile 2022
COUSIN Delphine,7,IQFOIL Fem.,7,3(CR),3,,96,53,Semaine Olympique Francaise De Voile 2022
MAGGETTI Marta,7,IQFOIL Fem.,-12,3(CR),4,,92,54,Semaine Olympique Francaise De Voile 2022
TEN HAVE Veerle,7,IQFOIL Fem.,2,3(CR),5,,90,55,Semaine Olympique Francaise De Voile 2022
PIANAZZA Manon,7,IQFOIL Fem.,5,3(CR),6,,128,75,Semaine Olympique Francaise De Voile 2022
BELBEOCH Lucie,7,IQFOIL Fem.,3,3(CR),7,,156,75,Semaine Olympique Francaise De Voile 2022
SPECIALE Giorgia,7,IQFOIL Fem.,8,3(CR),8,,144,94,Semaine Olympique Francaise De Voile 2022
KUCHTA Maja,7,IQFOIL Fem.,9,3(CR),9,,182,98,Semaine Olympique Francaise De Voile 2022
MA Kwan Ching,7,IQFOIL Fem.,-13,3(CR),10,,165,102,Semaine Olympique Francaise De Voile 2022
MORTEFON Marion,7,IQFOIL Fem.,14,3(CR),11,,169,103,Semaine Olympique Francaise De Voile 2022
AGUILAR CHAVEZ PEON,7,IQFOIL Fem.,4,3(CR),12,,183,118,Semaine Olympique Francaise De Voile 2022
SORIN Lola,7,IQFOIL Fem.,-20,3(CR),13,,190,129,Semaine Olympique Francaise De Voile 2022
ERDIL Lena,7,IQFOIL Fem.,11,3(CR),14,,225,130,Semaine Olympique Francaise De Voile 2022
ENGELMANN Alisa,7,IQFOIL Fem.,10,3(CR),15,,229.22,161.22,Semaine Olympique Francaise De Voile 2022
PAPAZIAN Ambar,7,IQFOIL Fem.,17,3(CR),16,,244,167,Semaine Olympique Francaise De Voile 2022
COUTURIER Marion,7,IQFOIL Fem.,19,3(CR),17,,270,175,Semaine Olympique Francaise De Voile 2022
SPYCHAKOV Katy,7,IQFOIL Fem.,-28,3(CR),18,,271,194,Semaine Olympique Francaise De Voile 2022
BRYANT Natasha,7,IQFOIL Fem.,15,3(CR),19,,280,200,Semaine Olympique Francaise De Voile 2022
HJERTBERG Johanna,7,IQFOIL Fem.,22,3(CR),20,,305,209,Semaine Olympique Francaise De Voile 2022
RENNA Sofia,7,IQFOIL Fem.,-23,3(CR),21,,297,218,Semaine Olympique Francaise De Voile 2022
NIIJIMA Rina,7,IQFOIL Fem.,-31,3(CR),22,,304,222,Semaine Olympique Francaise De Voile 2022
NOCETI-KLEPACKA Zofia,7,IQFOIL Fem.,16,3(CR),23,,334,235,Semaine Olympique Francaise De Voile 2022
MARTINELLI Bruna,7,IQFOIL Fem.,-26,3(CR),24,,332,252,Semaine Olympique Francaise De Voile 2022
COSTIN Samantha,7,IQFOIL Fem.,18,3(CR),25,,349,264,Semaine Olympique Francaise De Voile 2022
OPRANDI Linda,7,IQFOIL Fem.,24,3(CR),26,,363,277,Semaine Olympique Francaise De Voile 2022
ORAMS Brianna,7,IQFOIL Fem.,27,3(CR),27,,386,293,Semaine Olympique Francaise De Voile 2022
FUJIKO Onishi,7,IQFOIL Fem.,25,3(CR),28,,391,300,Semaine Olympique Francaise De Voile 2022
BERGER Manon,7,IQFOIL Fem.,21,3(CR),29,,404,305,Semaine Olympique Francaise De Voile 2022
HALL Farrah,7,IQFOIL Fem.,29,3(CR),30,,419,325,Semaine Olympique Francaise De Voile 2022
YAMABE Miki,7,IQFOIL Fem.,30,3(CR),31,,445,350,Semaine Olympique Francaise De Voile 2022
WILSON Emma,7,IQFOIL Fem.,DNC (33),3(CR),32,,495,396,Semaine Olympique Francaise De Voile 2022
NOESMOEN Hélène,7,IQFOIL Fem.,1,4(CR),1,,28,12,Semaine Olympique Francaise De Voile 2022
DZIARNOWSKA Maja,7,IQFOIL Fem.,2,4(CR),2,,57,36,Semaine Olympique Francaise De Voile 2022
COUSIN Delphine,7,IQFOIL Fem.,6,4(CR),3,,96,53,Semaine Olympique Francaise De Voile 2022
MAGGETTI Marta,7,IQFOIL Fem.,7,4(CR),4,,92,54,Semaine Olympique Francaise De Voile 2022
TEN HAVE Veerle,7,IQFOIL Fem.,5,4(CR),5,,90,55,Semaine Olympique Francaise De Voile 2022
PIANAZZA Manon,7,IQFOIL Fem.,8,4(CR),6,,128,75,Semaine Olympique Francaise De Voile 2022
BELBEOCH Lucie,7,IQFOIL Fem.,10,4(CR),7,,156,75,Semaine Olympique Francaise De Voile 2022
SPECIALE Giorgia,7,IQFOIL Fem.,9,4(CR),8,,144,94,Semaine Olympique Francaise De Voile 2022
KUCHTA Maja,7,IQFOIL Fem.,4,4(CR),9,,182,98,Semaine Olympique Francaise De Voile 2022
MA Kwan Ching,7,IQFOIL Fem.,11,4(CR),10,,165,102,Semaine Olympique Francaise De Voile 2022
MORTEFON Marion,7,IQFOIL Fem.,-15,4(CR),11,,169,103,Semaine Olympique Francaise De Voile 2022
AGUILAR CHAVEZ PEON,7,IQFOIL Fem.,12,4(CR),12,,183,118,Semaine Olympique Francaise De Voile 2022
SORIN Lola,7,IQFOIL Fem.,13,4(CR),13,,190,129,Semaine Olympique Francaise De Voile 2022
ERDIL Lena,7,IQFOIL Fem.,3,4(CR),14,,225,130,Semaine Olympique Francaise De Voile 2022
ENGELMANN Alisa,7,IQFOIL Fem.,14,4(CR),15,,229.22,161.22,Semaine Olympique Francaise De Voile 2022
PAPAZIAN Ambar,7,IQFOIL Fem.,18,4(CR),16,,244,167,Semaine Olympique Francaise De Voile 2022
COUTURIER Marion,7,IQFOIL Fem.,25,4(CR),17,,270,175,Semaine Olympique Francaise De Voile 2022
SPYCHAKOV Katy,7,IQFOIL Fem.,17,4(CR),18,,271,194,Semaine Olympique Francaise De Voile 2022
BRYANT Natasha,7,IQFOIL Fem.,-29,4(CR),19,,280,200,Semaine Olympique Francaise De Voile 2022
HJERTBERG Johanna,7,IQFOIL Fem.,16,4(CR),20,,305,209,Semaine Olympique Francaise De Voile 2022
RENNA Sofia,7,IQFOIL Fem.,21,4(CR),21,,297,218,Semaine Olympique Francaise De Voile 2022
NIIJIMA Rina,7,IQFOIL Fem.,19,4(CR),22,,304,222,Semaine Olympique Francaise De Voile 2022
NOCETI-KLEPACKA Zofia,7,IQFOIL Fem.,BFD (33),4(CR),23,,334,235,Semaine Olympique Francaise De Voile 2022
MARTINELLI Bruna,7,IQFOIL Fem.,23,4(CR),24,,332,252,Semaine Olympique Francaise De Voile 2022
COSTIN Samantha,7,IQFOIL Fem.,-26,4(CR),25,,349,264,Semaine Olympique Francaise De Voile 2022
OPRANDI Linda,7,IQFOIL Fem.,20,4(CR),26,,363,277,Semaine Olympique Francaise De Voile 2022
ORAMS Brianna,7,IQFOIL Fem.,28,4(CR),27,,386,293,Semaine Olympique Francaise De Voile 2022
FUJIKO Onishi,7,IQFOIL Fem.,22,4(CR),28,,391,300,Semaine Olympique Francaise De Voile 2022
